我要告发dm和骰娘七海小姐姐私通	1
这个骰子没有任何熟练项加成	0
这个骰子一直投一	0
骰娘啊	0
你们关两个骰娘	0
不是说七海很温柔的吗	0
七海喜欢吃辣味炸鸡吗？	1
七海正在游玩：俄罗斯方块	0
再不扔个大数字就发配七海玩俄罗斯方块	0
强大的七海	1
谢谢你，七海	1
七海我喜欢你	1
七海不准打游戏了	1
不愧是七海	1
千秋，你不要死😭	1
千秋酱	1
😭千秋今天欺负我	1
千秋怎么回事啊喂！净说大实话	0
这个骰子特别容易骰出大数值	0
我这个box	0
狗杂碎灵障	0
太弱小了😭太弱小了😭	0
这都是因为我们😭	0
你借个提丰玩	0
七海～	1
七海中午吃什么	1
七海对大家好一点	1
七海要怎么同意	0
要叫七海	0
七海我们都可以获得幸福吗	1
七海你觉得天衍纪年怎么样	1
七海你有喜欢的乐队吗	1
七海不喜欢音乐	0
七海是懂的	0
问问七海	0
一定是七海为了让自己少投几个点的阴谋😰	0
七海说了	0
是七海太温柔了还是这个本的缘故	0
然后最开始还是七海戴眼镜，puka留长发的阶段，俩人好像半生不熟的	0
七海总是躲着puka然后puka满世界找他	0
但是七海的话我也不知道为啥可能他俩在一张结婚证上吧	0
再来一次听七海的	0
我听七海的	0
七海的不是凶手来着？	0
父母可能是日向苗木狛枝七海	0
七海亲选	0
七海是哪部番的	1
我要给七海完整的一生	0
七海的骰主是谁	0
七海是……	0
爱你七海	1
七海熬了一晚上	1
七海今天开心吗	1
七海的ip地址是哪里	0
七海喜欢吃草莓蛋糕吗	1
七海喜欢吃什么	1
七海给你出了一个大成功	1
七海帮我做作业	0
七海能做个自我介绍吗	1
七海做个自我介绍	1
七海是哪里来的呢？	1
七海是哪部作品里的角色呢？	1
七海你好个空格才能加文字	1
七海好恨你啊？！	0
幽默七海	0
只有引起七海的兴趣她才会回复	0
七海你感兴趣的是什么呢	1
七海你知道喜多郁代为什么不会弹吉他吗	1
七海你知道游戏 英雄联盟的faker和bin吗	1
七海的连续鉴定是 。ra 数字#奖惩骰 技能	0
赐名七海	0
千秋中午吃什么好	1
给千秋七杯	1
这个要交给千秋来决定	0
千秋，今天对我好一点	1
好像千秋自己说的话（泪目）	0
千秋呢	1
千秋我（）	0
千秋说的不是我说的	0
千秋咋这样	0
千秋，帮我规划一条从桂平到广州的路线	0
这里有千秋了	0
千秋是sn就可以	0
千秋你好吗	1
千秋也睡了。？	0
给千秋接了deepseek	0
千秋中午好	1
千秋晚上好	1
千秋好像发完指令之后要加	0
nanami爱你	1
为什么我发早七海没说话	0
这样七海酱你让让豹	0
果然娜娜米对我好	1
诶，为什么七海不回我	1
你说话啊七海	1
七海说会赢的	0
千秋酱不太适合这个本的氛围诶	0
千秋教我玩吕树	1
千秋教我300英雄的吕树	1
千秋教我追七海千秋	1
千秋教我挣大钱	1
千秋！	1
千秋是什么骰	0
想七海了	0
七海我下次请你吃蛋糕给我个好点数吧	1
为什么七海千秋会死？	0
这是七海娜娜米吗	0
扣1加倒吊人七海	0
千秋教我玩文明六璃月	1
听七海的就真的完了	0
怎么千秋这个丢的，还算正常啊	0
谢谢七海	1
狛枝和七海？	0
千秋，你觉得机器人在群聊中的回复需不需要一个总开关？	1
千秋，怎么才能触发你的ai回复	1
千秋，小小小棠芫是笨蛋吗	1
太温柔了，千秋	1
七海千秋怎么看待日向创呢？	1
千秋 苗木不是78期吗	1
那为什么千秋要退群	0
我们可是在聊游戏呢，对吧，七海	1
七海，当别人和你聊游戏时你上升到现实层面了使聊天不那么愉快了怎么办	1
七海可以变成猫娘吗	1
喜欢七海	1
七海千秋～今天过得如何？	1
七海，你遇到下头的人会这么做	1
那七海喜欢弹丸论破吗？	1
诶那千秋的那个新闻是怎么搞出来的	0
咦千秋也可以响应这个	0
在千秋两个字后面打一个空格接要说的话就行了	0
千秋知道p4g吗	1
千秋你人呢	1
千秋你知道p4g吗	1
千秋你	1
是七海说的啦！	0
艹，你也是七海	0
七海，讲个跑团笑话	1
千秋在打游戏，没有理会你的戳戳	0
千秋，逻各斯的技能是什么	1
七海是管理员吗？	0
七海不是管理员啊	0
千秋这个骰看上去用的人还挺多	0
七海，佐佐木要被奶似了😢	1
七海是不是喜欢林肯	1
七海是不是喜欢马斯克	1
太恐怖了七海	1
七海，你是不是迫不及待想看一案了	0
其实七海就是针对你的	0
七海，你觉得佐佐木可以活到第几个案件呢	1
七海，你对七海怎么看	1
七海，你觉得我第一案该怎么杀月岛呢	1
七海，你对把我们拉入自相残杀的黑白猫怎么看呢，它是不是坏猫	1
七海，你对母鸡卡第八集怎么看	1
七海，你对小高和刚的新作品怎么看	1
我感觉七海好像投点确实不高	0
七海你干啥啊	1
七海你觉得小高该被放飞吗	1
七海小高被放飞你支持吗	1
七海看过mygo吗	1
七海要不要试一下《千恋万花》	1
七海，三三是黑猫吗	1
七海是什么东西	1
七海，我占卜今日运势的时候抽到了愚者逆位，这可能意味着什么	1
原来如此，七海好厉害	0
给七海一个管理员	0
七海，你觉得小布是在骰什么	1
七海，评价一下空呓	0
恭迎娜娜米回归（？）	1
娜娜米我们喜欢你	1
千秋，你的骰主是谁	1
千秋，第五人格的博士的技能是什么	1
熬死了七海的奶妈	0
七海吧（。。	0
卡成七海了	0
牢哥盯着七海头像	0
千秋 为什么要演奏春日影	1
这下千秋不如喵呜了	0
千秋 喵呜是AI诶	0
队友老变唐	0
我玩奶妈跟着你	0
不能	0
什么叫我也玩啊	0
我天天玩啊	0
不得了	0
支付宝基金老变绿	0
刚刚开一把	0
舍友睡觉啊	0
舍友学习	0
我们这的憋老仔	0
屠夫都没含金量了	0
今晚有无	0
还差一颗星升段位	0
有	0
睿华家要养大猫了吗	0
走廊全是楼下烧烤味	0
是票房最好的吗	0
老少皆宜，非常成功	0
我也是	0
没看过球1的也会有障碍	0
哪吒2这种，没看过第一部也不怎么影响你看剧情	0
还出去啊廖总	0
这种这么搞的	0
nanami只会偷偷给你俄罗斯方块	0
七海太有节目效果了	1
娜娜米你醒醒啊（喊）	1
娜娜米想吃什么	1
唉 好萌啊七海	0
七海故意的吧qwq	1
欺负七海	0
格莱塔被七海欺负的一生	0
千秋团结束就不跑了	0
千秋来点哈基米笑话	1
千秋大BOSS远藤阳毒害京都人民，我该怎么做才能把打败他	1
七海酱你看这个人菜菜的（oi	1
七海咱来段劲爆的B box	1
千秋来点英雄联盟笑话	1
千秋来点原神笑话	1
七海又去打游戏了	0
额 用七海吧	0
七海很智能啊	1
娜娜米今天可以爱我吗。	1
七海是这样的	0
我们七海多可爱呀	1
永七，你看七海还是个忠厚人啊	0
七海酱还在吗	1
千秋有人说你丢出来的骰子能鲨人	1
千秋教我如何收拾经常咕咕的调查员方法	1
要在前面加千秋呢	0
千秋不感兴趣	0
千秋，给我发把大狙	1
千秋，我喜欢你。	1
千秋，你可以少给我们发大失败吗	1
千秋教我如何用舌头舔到鼻子	1
千秋教我如何逃过黑白熊的处决	1
千秋，教我怎么打败kp	1
千秋喜欢看动漫吗	1
千秋喜欢玩什么类型的游戏呢？	1
娜娜米不要说这么恐怖的话	1
我得把七海和01手刃了拯救世界，然后你们全挡在我面前要保护幕后黑手	0
nanami说七岁	0
千秋，举一个现实生活的类似例子来类比脱水缩合	1
要带有七海才能识别到	0
这个得看七海	0
想去华师	0
千秋你怎么死了	0
我准备放弃合约了	0
这么幸福	0
七海懒得喷了	0
没喝	0
能不能中就看七海千秋的心情了	0
七海这边呢是父母给他找了个冲喜的（啥啊）	0
我有点不敢用七海	0
骰娘表示	0
感觉到处湿	0
燃尽了	0
看七海	0
点加生命加防御的了	0
怎么今天这么多失败	0
把千秋放中间就不会触发了吗	0
百艺更有千秋	0
千秋：不，不对吧	0
上次我看七海显示还是赵骰	0
娜娜米今天肯德基85周年了	0
可怜bot好像是骰娘	0
娜娜米是谁	0
千秋哑巴了？	0
七海延迟咋这么高（）	0
我们这边经常让七海品尝各种饭菜	0
七海也不回我	0
千秋被海星骇客攻击了	0
不能叫千秋	0
七海，你是不喜欢佐佐木吗，为什么给它的投点都这么高😢	1
七海小天使	1
千秋，救救我的卡😭	1
七海，我待你不薄	1
第5次终于成功了真是太好了呢对不对七海^^	1
七海你喜欢迷宫探险吗？	1
七海你喜欢俄罗斯方块吗？	1
七海，你觉得永远的乐园游戏怎么样？	1
七海，你怎么看我们这个团	1
七海你怎么看永七	1
